Dates,Année,Mois,Anomalies
1873-07-01,1873,6,-0.15
1873-08-01,1873,7,-0.159
1873-09-01,1873,8,-0.355
1873-10-01,1873,9,-0.401
1873-11-01,1873,10,-0.464
1873-12-01,1873,11,-0.272
1874-01-01,1874,0,0.063
1874-02-01,1874,1,-0.435
1874-03-01,1874,2,-0.556
1874-04-01,1874,3,-0.504
1874-05-01,1874,4,-0.467
1874-06-01,1874,5,-0.457
1874-07-01,1874,6,-0.169
1874-08-01,1874,7,-0.363
1874-09-01,1874,8,-0.204
1874-10-01,1874,9,-0.433
1874-11-01,1874,10,-0.501
1874-12-01,1874,11,-0.404
1875-01-01,1875,0,-0.571
1875-02-01,1875,1,-0.597
1875-03-01,1875,2,-0.597
1875-04-01,1875,3,-0.466
1875-05-01,1875,4,-0.175
1875-06-01,1875,5,-0.233
1875-07-01,1875,6,-0.299
1875-08-01,1875,7,-0.18
1875-09-01,1875,8,-0.268
1875-10-01,1875,9,-0.363
1875-11-01,1875,10,-0.503
1875-12-01,1875,11,-0.506
1876-01-01,1876,0,-0.315
1876-02-01,1876,1,-0.279
1876-03-01,1876,2,-0.388
1876-04-01,1876,3,-0.298
1876-05-01,1876,4,-0.533
1876-06-01,1876,5,-0.282
1876-07-01,1876,6,-0.137
1876-08-01,1876,7,-0.248
1876-09-01,1876,8,-0.436
1876-10-01,1876,9,-0.388
1876-11-01,1876,10,-0.586
1876-12-01,1876,11,-0.716
1877-01-01,1877,0,-0.327
1877-02-01,1877,1,0.049
1877-03-01,1877,2,-0.28
1877-04-01,1877,3,-0.321
1877-05-01,1877,4,-0.454
1877-06-01,1877,5,-0.092
1877-07-01,1877,6,0.013
1877-08-01,1877,7,0.147
1877-09-01,1877,8,0.028
1877-10-01,1877,9,0.062
1877-11-01,1877,10,0.096
1877-12-01,1877,11,0.17
1878-01-01,1878,0,0.174
1878-02-01,1878,1,0.403
1878-03-01,1878,2,0.343
1878-04-01,1878,3,0.319
1878-05-01,1878,4,-0.082
1878-06-01,1878,5,0.019
1878-07-01,1878,6,-0.049
1878-08-01,1878,7,-0.023
1878-09-01,1878,8,0.017
1878-10-01,1878,9,-0.122
1878-11-01,1878,10,-0.2
1878-12-01,1878,11,-0.356
1879-01-01,1879,0,-0.193
1879-02-01,1879,1,-0.149
1879-03-01,1879,2,-0.094
1879-04-01,1879,3,-0.214
1879-05-01,1879,4,-0.212
1879-06-01,1879,5,-0.27
1879-07-01,1879,6,-0.23
1879-08-01,1879,7,-0.167
1879-09-01,1879,8,-0.215
1879-10-01,1879,9,-0.122
1879-11-01,1879,10,-0.39
1879-12-01,1879,11,-0.515
1880-01-01,1880,0,-0.067
1880-02-01,1880,1,-0.173
1880-03-01,1880,2,-0.104
1880-04-01,1880,3,-0.15
1880-05-01,1880,4,-0.244
1880-06-01,1880,5,-0.307
1880-07-01,1880,6,-0.247
1880-08-01,1880,7,-0.116
1880-09-01,1880,8,-0.235
1880-10-01,1880,9,-0.386
1880-11-01,1880,10,-0.408
1880-12-01,1880,11,-0.294
1881-01-01,1881,0,-0.353
1881-02-01,1881,1,-0.234
1881-03-01,1881,2,-0.181
1881-04-01,1881,3,-0.131
1881-05-01,1881,4,-0.03
1881-06-01,1881,5,-0.23
1881-07-01,1881,6,-0.148
1881-08-01,1881,7,-0.123
1881-09-01,1881,8,-0.24
1881-10-01,1881,9,-0.275
1881-11-01,1881,10,-0.334
1881-12-01,1881,11,-0.13
1882-01-01,1882,0,0.125
1882-02-01,1882,1,-0.008
1882-03-01,1882,2,-0.051
1882-04-01,1882,3,-0.283
1882-05-01,1882,4,-0.372
1882-06-01,1882,5,-0.315
1882-07-01,1882,6,-0.187
1882-08-01,1882,7,-0.221
1882-09-01,1882,8,-0.156
1882-10-01,1882,9,-0.329
1882-11-01,1882,10,-0.312
1882-12-01,1882,11,-0.471
1883-01-01,1883,0,-0.4
1883-02-01,1883,1,-0.321
1883-03-01,1883,2,-0.346
1883-04-01,1883,3,-0.397
1883-05-01,1883,4,-0.256
1883-06-01,1883,5,-0.124
1883-07-01,1883,6,-0.2
1883-08-01,1883,7,-0.21
1883-09-01,1883,8,-0.279
1883-10-01,1883,9,-0.379
1883-11-01,1883,10,-0.312
1883-12-01,1883,11,-0.323
1884-01-01,1884,0,-0.403
1884-02-01,1884,1,-0.217
1884-03-01,1884,2,-0.459
1884-04-01,1884,3,-0.527
1884-05-01,1884,4,-0.396
1884-06-01,1884,5,-0.411
1884-07-01,1884,6,-0.424
1884-08-01,1884,7,-0.413
1884-09-01,1884,8,-0.346
1884-10-01,1884,9,-0.332
1884-11-01,1884,10,-0.567
1884-12-01,1884,11,-0.415
1885-01-01,1885,0,-0.502
1885-02-01,1885,1,-0.412
1885-03-01,1885,2,-0.482
1885-04-01,1885,3,-0.469
1885-05-01,1885,4,-0.518
1885-06-01,1885,5,-0.486
1885-07-01,1885,6,-0.316
1885-08-01,1885,7,-0.505
1885-09-01,1885,8,-0.329
1885-10-01,1885,9,-0.242
1885-11-01,1885,10,-0.262
1885-12-01,1885,11,-0.155
1886-01-01,1886,0,-0.396
1886-02-01,1886,1,-0.47
1886-03-01,1886,2,-0.412
1886-04-01,1886,3,-0.338
1886-05-01,1886,4,-0.188
1886-06-01,1886,5,-0.382
1886-07-01,1886,6,-0.28
1886-08-01,1886,7,-0.335
1886-09-01,1886,8,-0.432
1886-10-01,1886,9,-0.361
1886-11-01,1886,10,-0.423
1886-12-01,1886,11,-0.42
1887-01-01,1887,0,-0.566
1887-02-01,1887,1,-0.556
1887-03-01,1887,2,-0.457
1887-04-01,1887,3,-0.435
1887-05-01,1887,4,-0.355
1887-06-01,1887,5,-0.404
1887-07-01,1887,6,-0.274
1887-08-01,1887,7,-0.362
1887-09-01,1887,8,-0.337
1887-10-01,1887,9,-0.499
1887-11-01,1887,10,-0.404
1887-12-01,1887,11,-0.395
1888-01-01,1888,0,-0.591
1888-02-01,1888,1,-0.44
1888-03-01,1888,2,-0.534
1888-04-01,1888,3,-0.238
1888-05-01,1888,4,-0.347
1888-06-01,1888,5,-0.292
1888-07-01,1888,6,-0.304
1888-08-01,1888,7,-0.278
1888-09-01,1888,8,-0.219
1888-10-01,1888,9,-0.095
1888-11-01,1888,10,-0.194
1888-12-01,1888,11,-0.169
1889-01-01,1889,0,-0.067
1889-02-01,1889,1,-0.082
1889-03-01,1889,2,-0.064
1889-04-01,1889,3,0.01
1889-05-01,1889,4,-0.08
1889-06-01,1889,5,-0.144
1889-07-01,1889,6,-0.191
1889-08-01,1889,7,-0.22
1889-09-01,1889,8,-0.381
1889-10-01,1889,9,-0.298
1889-11-01,1889,10,-0.398
1889-12-01,1889,11,-0.179
1890-01-01,1890,0,-0.329
1890-02-01,1890,1,-0.368
1890-03-01,1890,2,-0.463
1890-04-01,1890,3,-0.324
1890-05-01,1890,4,-0.417
1890-06-01,1890,5,-0.371
1890-07-01,1890,6,-0.405
1890-08-01,1890,7,-0.416
1890-09-01,1890,8,-0.473
1890-10-01,1890,9,-0.498
1890-11-01,1890,10,-0.555
1890-12-01,1890,11,-0.411
1891-01-01,1891,0,-0.512
1891-02-01,1891,1,-0.474
1891-03-01,1891,2,-0.363
1891-04-01,1891,3,-0.358
1891-05-01,1891,4,-0.199
1891-06-01,1891,5,-0.288
1891-07-01,1891,6,-0.323
1891-08-01,1891,7,-0.313
1891-09-01,1891,8,-0.193
1891-10-01,1891,9,-0.322
1891-11-01,1891,10,-0.541
1891-12-01,1891,11,-0.115
1892-01-01,1892,0,-0.398
1892-02-01,1892,1,-0.112
1892-03-01,1892,2,-0.47
1892-04-01,1892,3,-0.484
1892-05-01,1892,4,-0.403
1892-06-01,1892,5,-0.461
1892-07-01,1892,6,-0.526
1892-08-01,1892,7,-0.443
1892-09-01,1892,8,-0.325
1892-10-01,1892,9,-0.441
1892-11-01,1892,10,-0.627
1892-12-01,1892,11,-0.793
1893-01-01,1893,0,-0.974
1893-02-01,1893,1,-0.727
1893-03-01,1893,2,-0.373
1893-04-01,1893,3,-0.567
1893-05-01,1893,4,-0.559
1893-06-01,1893,5,-0.459
1893-07-01,1893,6,-0.277
1893-08-01,1893,7,-0.291
1893-09-01,1893,8,-0.43
1893-10-01,1893,9,-0.274
1893-11-01,1893,10,-0.415
1893-12-01,1893,11,-0.34
1894-01-01,1894,0,-0.465
1894-02-01,1894,1,-0.374
1894-03-01,1894,2,-0.38
1894-04-01,1894,3,-0.388
1894-05-01,1894,4,-0.421
1894-06-01,1894,5,-0.493
1894-07-01,1894,6,-0.315
1894-08-01,1894,7,-0.341
1894-09-01,1894,8,-0.458
1894-10-01,1894,9,-0.444
1894-11-01,1894,10,-0.42
1894-12-01,1894,11,-0.41
1895-01-01,1895,0,-0.497
1895-02-01,1895,1,-0.677
1895-03-01,1895,2,-0.519
1895-04-01,1895,3,-0.405
1895-05-01,1895,4,-0.415
1895-06-01,1895,5,-0.333
1895-07-01,1895,6,-0.348
1895-08-01,1895,7,-0.261
1895-09-01,1895,8,-0.284
1895-10-01,1895,9,-0.337
1895-11-01,1895,10,-0.297
1895-12-01,1895,11,-0.318
1896-01-01,1896,0,-0.219
1896-02-01,1896,1,-0.23
1896-03-01,1896,2,-0.387
1896-04-01,1896,3,-0.352
1896-05-01,1896,4,-0.205
1896-06-01,1896,5,-0.119
1896-07-01,1896,6,-0.112
1896-08-01,1896,7,-0.063
1896-09-01,1896,8,-0.109
1896-10-01,1896,9,-0.123
1896-11-01,1896,10,-0.286
1896-12-01,1896,11,-0.034
1897-01-01,1897,0,-0.203
1897-02-01,1897,1,-0.125
1897-03-01,1897,2,-0.275
1897-04-01,1897,3,-0.076
1897-05-01,1897,4,-0.031
1897-06-01,1897,5,-0.155
1897-07-01,1897,6,-0.157
1897-08-01,1897,7,-0.149
1897-09-01,1897,8,-0.135
1897-10-01,1897,9,-0.258
1897-11-01,1897,10,-0.453
1897-12-01,1897,11,-0.477
1898-01-01,1898,0,-0.085
1898-02-01,1898,1,-0.38
1898-03-01,1898,2,-0.749
1898-04-01,1898,3,-0.573
1898-05-01,1898,4,-0.474
1898-06-01,1898,5,-0.319
1898-07-01,1898,6,-0.377
1898-08-01,1898,7,-0.306
1898-09-01,1898,8,-0.332
1898-10-01,1898,9,-0.556
1898-11-01,1898,10,-0.449
1898-12-01,1898,11,-0.346
1899-01-01,1899,0,-0.208
1899-02-01,1899,1,-0.494
1899-03-01,1899,2,-0.544
1899-04-01,1899,3,-0.351
1899-05-01,1899,4,-0.316
1899-06-01,1899,5,-0.39
1899-07-01,1899,6,-0.275
1899-08-01,1899,7,-0.147
1899-09-01,1899,8,-0.136
1899-10-01,1899,9,-0.188
1899-11-01,1899,10,0.028
1899-12-01,1899,11,-0.45
1900-01-01,1900,0,-0.266
1900-02-01,1900,1,-0.172
1900-03-01,1900,2,-0.285
1900-04-01,1900,3,-0.261
1900-05-01,1900,4,-0.273
1900-06-01,1900,5,-0.18
1900-07-01,1900,6,-0.19
1900-08-01,1900,7,-0.185
1900-09-01,1900,8,-0.23
1900-10-01,1900,9,-0.058
1900-11-01,1900,10,-0.263
1900-12-01,1900,11,-0.075
1901-01-01,1901,0,-0.176
1901-02-01,1901,1,-0.272
1901-03-01,1901,2,-0.236
1901-04-01,1901,3,-0.187
1901-05-01,1901,4,-0.196
1901-06-01,1901,5,-0.146
1901-07-01,1901,6,-0.188
1901-08-01,1901,7,-0.196
1901-09-01,1901,8,-0.343
1901-10-01,1901,9,-0.298
1901-11-01,1901,10,-0.442
1901-12-01,1901,11,-0.428
1902-01-01,1902,0,-0.232
1902-02-01,1902,1,-0.26
1902-03-01,1902,2,-0.398
1902-04-01,1902,3,-0.451
1902-05-01,1902,4,-0.401
1902-06-01,1902,5,-0.424
1902-07-01,1902,6,-0.391
1902-08-01,1902,7,-0.368
1902-09-01,1902,8,-0.361
1902-10-01,1902,9,-0.477
1902-11-01,1902,10,-0.538
1902-12-01,1902,11,-0.526
1903-01-01,1903,0,-0.269
1903-02-01,1903,1,-0.181
1903-03-01,1903,2,-0.358
1903-04-01,1903,3,-0.473
1903-05-01,1903,4,-0.463
1903-06-01,1903,5,-0.537
1903-07-01,1903,6,-0.485
1903-08-01,1903,7,-0.587
1903-09-01,1903,8,-0.518
1903-10-01,1903,9,-0.653
1903-11-01,1903,10,-0.634
1903-12-01,1903,11,-0.604
1904-01-01,1904,0,-0.644
1904-02-01,1904,1,-0.59
1904-03-01,1904,2,-0.661
1904-04-01,1904,3,-0.553
1904-05-01,1904,4,-0.527
1904-06-01,1904,5,-0.522
1904-07-01,1904,6,-0.522
1904-08-01,1904,7,-0.477
1904-09-01,1904,8,-0.478
1904-10-01,1904,9,-0.473
1904-11-01,1904,10,-0.387
1904-12-01,1904,11,-0.407
1905-01-01,1905,0,-0.46
1905-02-01,1905,1,-0.703
1905-03-01,1905,2,-0.462
1905-04-01,1905,3,-0.555
1905-05-01,1905,4,-0.344
1905-06-01,1905,5,-0.314
1905-07-01,1905,6,-0.297
1905-08-01,1905,7,-0.301
1905-09-01,1905,8,-0.313
1905-10-01,1905,9,-0.363
1905-11-01,1905,10,-0.218
1905-12-01,1905,11,-0.199
1906-01-01,1906,0,-0.075
1906-02-01,1906,1,-0.225
1906-03-01,1906,2,-0.284
1906-04-01,1906,3,-0.115
1906-05-01,1906,4,-0.329
1906-06-01,1906,5,-0.287
1906-07-01,1906,6,-0.315
1906-08-01,1906,7,-0.319
1906-09-01,1906,8,-0.385
1906-10-01,1906,9,-0.351
1906-11-01,1906,10,-0.427
1906-12-01,1906,11,-0.283
1907-01-01,1907,0,-0.431
1907-02-01,1907,1,-0.512
1907-03-01,1907,2,-0.338
1907-04-01,1907,3,-0.507
1907-05-01,1907,4,-0.555
1907-06-01,1907,5,-0.524
1907-07-01,1907,6,-0.402
1907-08-01,1907,7,-0.452
1907-09-01,1907,8,-0.405
1907-10-01,1907,9,-0.359
1907-11-01,1907,10,-0.581
1907-12-01,1907,11,-0.525
1908-01-01,1908,0,-0.412
1908-02-01,1908,1,-0.413
1908-03-01,1908,2,-0.636
1908-04-01,1908,3,-0.55
1908-05-01,1908,4,-0.474
1908-06-01,1908,5,-0.472
1908-07-01,1908,6,-0.469
1908-08-01,1908,7,-0.532
1908-09-01,1908,8,-0.454
1908-10-01,1908,9,-0.579
1908-11-01,1908,10,-0.596
1908-12-01,1908,11,-0.568
1909-01-01,1909,0,-0.579
1909-02-01,1909,1,-0.531
1909-03-01,1909,2,-0.69
1909-04-01,1909,3,-0.604
1909-05-01,1909,4,-0.586
1909-06-01,1909,5,-0.512
1909-07-01,1909,6,-0.573
1909-08-01,1909,7,-0.317
1909-09-01,1909,8,-0.398
1909-10-01,1909,9,-0.481
1909-11-01,1909,10,-0.42
1909-12-01,1909,11,-0.591
1910-01-01,1910,0,-0.352
1910-02-01,1910,1,-0.514
1910-03-01,1910,2,-0.487
